id,dv1,dv2,dv3,dv4,dv5,dv6,dv7,dv8,dv9,dv10
250,181407393,41729624,179.124,8,8,0,4,16,0,1
367,268130041,30296168,262.278,8,8,0,4,16,0,1
469,324360811,44179056,320.739,12,12,0,4,16,0,1
334,261199146,68688248,258.203,8,8,0,4,16,0,2
259,171341603,34317288,169.169,12,12,0,4,16,0,1
112,91684391,55444520,90.995,12,12,0,4,16,0,2
178,90281732,66721808,89.581,8,8,0,4,16,0,2
453,320392938,86410600,315.914,12,12,0,4,16,0,1
307,289502206,52405592,277.577,8,8,0,4,16,0,2
100,782788,1708672,0.819,8,8,0,4,16,0,1
454,323419863,2337152,318.764,12,12,0,4,16,0,1
304,254579496,60531344,252.177,9,9,0,4,16,0,0
427,365469180,79252856,351.382,12,12,0,4,16,0,1
298,199760332,116251056,198.94,8,8,0,4,16,0,1
27,699282,3789480,0.725,8,8,0,4,16,0,1
362,282107223,27401280,280.386,8,8,0,4,16,0,2
189,90047077,136308056,89.908,9,9,0,4,16,0,0
449,370940959,101137168,368.656,12,12,0,4,16,0,0
360,276772541,195077792,275.163,9,9,0,4,16,0,0
123,88280711,133285784,88.281,12,12,0,4,16,0,2
148,86078804,132335032,86.091,12,12,0,4,16,0,2
426,337771290,143064792,336.196,8,8,0,4,16,0,1
10,804165,3780976,0.842,8,8,0,4,16,0,1
14,875322,3781048,0.911,8,8,0,4,16,0,2
161,87049946,138355928,87.07,9,9,0,4,16,0,0
456,331021876,140310480,329.318,12,12,0,4,16,0,1
116,91072529,132436696,90.815,9,9,0,4,16,0,0
435,334012728,3310848,331.606,8,8,0,4,16,0,1
445,333326714,57532488,331.044,8,8,0,4,16,0,1
422,330331945,107158880,327.886,9,9,0,4,16,0,0
141,86322654,2654320,85.668,9,9,0,4,16,0,0
39,800530,2556080,0.836,12,12,0,4,16,0,0
244,163575452,7274032,162.049,9,9,0,4,16,0,0
162,82551342,11658192,81.868,12,12,0,4,16,0,1
308,261739875,59432960,259.431,9,9,0,4,16,0,0
265,173166344,55925472,171.725,12,12,0,4,16,0,2
40,805873,2014520,0.834,12,12,0,4,16,0,1
465,373170851,20635856,368.516,8,8,0,4,16,0,1
372,254849694,52547080,251.668,12,12,0,4,16,0,1
90,798025,1569344,0.835,12,12,0,4,16,0,1
99,707560,1569416,0.733,12,12,0,4,16,0,1
229,175244294,37478032,172.443,9,9,0,4,16,0,0
32,700383,1821696,0.727,8,8,0,4,16,0,1
337,261725574,59868320,258.883,12,12,0,4,16,0,2
464,318856251,102050520,315.304,12,12,0,4,16,0,1
290,168837855,47017120,167.375,12,12,0,4,16,0,1
498,335079878,51826032,331.497,12,12,0,4,16,0,1
241,174357335,82954360,172.496,12,12,0,4,16,0,1
264,167361644,9561192,164.917,12,12,0,4,16,0,2
95,795119,1613512,0.838,12,12,0,4,16,0,1
246,165108888,33888744,163.037,12,12,0,4,16,0,1
437,330518578,40665808,326.037,12,12,0,4,16,0,2
125,86769476,39557896,85.875,8,8,0,4,16,0,1
463,344341864,16194800,339.924,9,9,0,4,16,0,0
79,829428,1649416,0.866,8,8,0,4,16,0,1
65,802885,1649488,0.851,8,8,0,4,16,0,1
228,171698163,26953512,169.408,12,12,0,4,16,0,2
12,813703,1534288,0.855,12,12,0,4,16,0,1
55,805093,1534360,0.844,12,12,0,4,16,0,1
338,264281348,34378008,260.699,8,8,0,4,16,0,2
226,175701832,74580144,174.318,12,12,0,4,16,0,0
272,179743258,75614568,178.054,9,9,0,4,16,0,0
476,342745195,12557136,338.075,8,8,0,4,16,0,2
